YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,
109,3,32,26,9,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,10,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,11,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,12,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,13,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,17,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,18,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,19,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,20,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,26,21,3032026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,9,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,10,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,11,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,12,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,13,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,17,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,18,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,19,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,27,20,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
