YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,3,1,16,17,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,18,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,19,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,20,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,16,21,3001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,9,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,10,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,11,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,12,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,13,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,17,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,18,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,19,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,20,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,17,21,3001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,9,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,10,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,11,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,12,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,13,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,17,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,18,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,19,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,20,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,18,21,3001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,9,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,10,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,11,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,12,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,13,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,17,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,18,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,19,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,20,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,19,21,3001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,9,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,10,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,11,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,12,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,13,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,17,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,18,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,19,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,20,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,20,21,3001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,9,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,10,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,11,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,12,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,13,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,17,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,18,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,19,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,20,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,21,21,3001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,9,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,10,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,11,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,12,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,13,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,17,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,18,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,19,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,20,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,22,21,3001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,23,9,3001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,23,10,3001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,23,11,3001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
